simetride	Simetrid
dazoquinast	Dazochinast
norletimol	Norletimol
ampiroxicam	Ampiroxicam
golden chestnut	Goldfuchs
light brown	Goldfuchs
bleeding disorder	Blutungsstörung
vinpoline	Vinpolin
occupational hygiene	Arbeitshygiene|der Gesundheitsschutz bei der Arbeit|industrielle Hygiene|betrieblicher Gesundheitsschutz|Gewerbehygiene|Betriebshygiene
industrial hygiene	Arbeitshygiene|der Gesundheitsschutz bei der Arbeit|industrielle Hygiene|betrieblicher Gesundheitsschutz|Gewerbehygiene|Betriebshygiene
industrial sanitation	Arbeitshygiene|der Gesundheitsschutz bei der Arbeit|industrielle Hygiene|betrieblicher Gesundheitsschutz|Gewerbehygiene|Betriebshygiene
partial decriminalisation of abortion	Freigabe des Schwangerschaftsabbruchs bei Vorliegen bestimmter Indikationen
partial decriminalization of abortion	Freigabe des Schwangerschaftsabbruchs bei Vorliegen bestimmter Indikationen
smear	Ausstrich
winter growth zone	Winterzuwachs
droplet nuclei	droplet nuclei
synaptic relay	synaptische Relaisstation
malleolus,ankle bone	Enkel|Fußknöchel|Malleolus
necrotic	nekrotisch
almitrine	Almitrin
basilysis	Kephalotomie|Kephalotripsie|Trepanation|Basilysis
cephalotomy	Kephalotomie|Kephalotripsie|Trepanation|Basilysis
craniotomy	Kephalotomie|Kephalotripsie|Trepanation|Basilysis
transplant organ	Spenderorgan
bullae	bullöses Lungenemphysem
fragile blister	bullöses Lungenemphysem
vocal-tract articulator	Muskel im Stimmtrakt,der an der Artikulation beteiligt ist
serum cholinesterase	Cholinesterase|Pseudocholinesterase|CHE|PCHE
plasma cholinesterase	Cholinesterase|Pseudocholinesterase|CHE|PCHE
cholinesterase	Cholinesterase|Pseudocholinesterase|CHE|PCHE
butyrylcholinesterase	Cholinesterase|Pseudocholinesterase|CHE|PCHE
pseudocholinesterase	Cholinesterase|Pseudocholinesterase|CHE|PCHE
PChE	Cholinesterase|Pseudocholinesterase|CHE|PCHE
headache	Kephalalgie|Kopfschmerz
cephalea	Kephalalgie|Kopfschmerz
immune	immun
EU Risk Management Strategy	EU-Risikomanagementstrategie|ERMS
ERMS	EU-Risikomanagementstrategie|ERMS
protein folding	Falten eines Proteins
electric ophthalmoscope	elektrischer Augenspiegel
regional health status	Gesundheitsstatus einer Region
EDCTP	Partnerschaft Europas und der Entwicklungsländer im Bereich klinischer Studien
European and Developing Countries Clinical Trials Partnership	Partnerschaft Europas und der Entwicklungsländer im Bereich klinischer Studien
Jackson crib	Jackson-Apparat
fenproporex	Fenproporex
real-time high-speed processing of medical information	Real-time Hochgeschwindigkeitsverarbeitung von medizinischer Information
neural basis of attention	neuronale Grundlage der aufmerksamen Hinwendung
rain-fed variety	Art der Regengebiete
recognition of the freedom from diseases	Status der Seuchenfreiheit
arthrodesis	Arthrodese|künstliche Gelenkversteifung
perirenal capsule	Nierenkapsel
fabric of life	Lebensrahmen
confluent monolayer cell culture	konfluierende Zellrasenkultur
confluent cell monolayer culture	konfluierende Zellrasenkultur
medical technique	Medizintechnik
affect	Affekt
stimulatory G protein	erregendes G-protein
pharmacochemistry	pharmazeutische Chemie
ring form	Ringform
industrial feeding	Kantinenverpflegung
adventitious agent	adventives Agens|weiteres Agens
relative inhalation risk	relatives Inhalationsrisiko|RIR
RIR	relatives Inhalationsrisiko|RIR
medical officer	Vertrauensarzt
zileuton	Zileuton
electronic health record	elektronische Patientenakte|EPA
computerised medical record	elektronische Patientenakte|EPA
EMR	elektronische Patientenakte|EPA
electronic medical record	elektronische Patientenakte|EPA
EHR	elektronische Patientenakte|EPA
"Working Group III ""Capacity review and strengthening"""	"Arbeitsgruppe III ""Überprüfung und Ausbau der Kapazitäten"""
carcinoma of the nasopharynx	Nasopharynx-Karzinom
synaptic pathway	synaptische Leitungsbahn
flame photometry	Flammenphotometrie
phenylisopropylamine	Amphetamin|Phenylisopropylamin
alpha-methylphenethylamine	Amphetamin|Phenylisopropylamin
amphetamine	Amphetamin|Phenylisopropylamin
acupuncture	Akupunktur
milker's spasm	Melkerkrampf
milkmaid's cramp	Melkerkrampf
milker's cramp	Melkerkrampf
tenor	Tenor
ward block	Bettenhaus
heel spur	Kalkaneussporn|Fersensporn
calcaneal spur	Kalkaneussporn|Fersensporn
vesicular lesion	vesikuläre Läsion
tiocarlide	Tiocarlid
expression	Expressio|Exprimieren
differentiating signal	Differenzierungssignal
altitude chamber	Höhenkammer|Unterdruckkammer
dyslexic	Legastheniker
Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances	Übereinkommen zwischen den Mitgliedstaaten des Europarats über die Ausgabe eines internationalen Gutscheinhefts für die Instandsetzung von Prothesen und orthopädischen Hilfsmitteln an militärische und zivile Kriegsbeschädigte
benoxaprofen	Benoxaprofen
bimodal distribution	bimodale Verteilung
delactosed formula	laktosearme Milchzubereitung
difloxacin	Difloxacin
compression cone	Kompressionstubus
differential reinforced clostridial medium	DRCM-Medium|Clostridien-Differential-Bouillon
DRCM	DRCM-Medium|Clostridien-Differential-Bouillon
fructose-6-phosphate	Fructose-6-phosphat
loratadine	Loratadin
isradipine	Isradipin
galenicals	galenische Praeparate|galenische Mittel|Galenika
pelvis	Pelvis
anthropogeography	Anthropogeographie
limit dextrinase	Grenzdextrinase
oto-rhino-laryngologic disease	Hals-Nasen Ohrenkrankheit
dacopafant	Dacopafant
Virgin population	expositionsfreie Bevölkerung
therapeutic food	Heilnahrung
deduction	Ableitung
remifentanil	Remifentanil
phonocardiography	Phonocardiographie
antibiotic	Antibiotikum
price guarantee	Preisvorbehalt|Preisgarantie|Preissicherheit
immunoprophylaxis	Immunoprophylaxe
fenbenicillin	Fenbenicillin
GCP	gute klinische Praxis
good clinical practice	gute klinische Praxis
base metal	unedles Metall
granisetron	Granisetron
prevalence	Prävalenz|Prävalenzrate|Ausbreitung|Häufigkeit
pleuromutilines	Pleuromutiline
loudness contour	Lautstärkekurve|Phon-Linie
cysteine-containing peptide	Cysteinpeptid
CCHFV	Haemorrhagisches-Kongo-Krim-Fieber-Virus|Virus des Hämorrhagischen Krim-Fiebers
Congo-Crimean haemorrhagic fever virus	Haemorrhagisches-Kongo-Krim-Fieber-Virus|Virus des Hämorrhagischen Krim-Fiebers
Crimean-Congo haemorrhagic fever virus	Haemorrhagisches-Kongo-Krim-Fieber-Virus|Virus des Hämorrhagischen Krim-Fiebers
Crimean haemorrhagic fever virus	Haemorrhagisches-Kongo-Krim-Fieber-Virus|Virus des Hämorrhagischen Krim-Fiebers
hydroxindasol	Hydroxindasol
brain injured	hirnverletzt|hirngeschaedigt
suffocation	Erstickung|Suffocatio|Suffokation
allopathy	Allopathie|Enantiopathie
serological survey	seroepidemiologische Populationsstudie
serological study	seroepidemiologische Populationsstudie
population-based seroepidemiological investigation	seroepidemiologische Populationsstudie
sero-epidemiological population survey	seroepidemiologische Populationsstudie
sero-epidemiological study	seroepidemiologische Populationsstudie
meletimide	Meletimid
homprenorphine	Homprenorphin
sachet portion	Portionsbeutel
pilot project for the control of rabies with a view to its eradication	Pilotprogramme zur Tilgung der Tollwut
photodynamic therapy	photodynamische Therapie
human albumen 20 percent purification	gereinigtes Humanalbumin in zwanzigprozentiger Loesung
tienocarbine	Tienocarbin
viraemia	Virämie
pyridoxine dipalmitate	Pyridoxindipalmitat
zolenzepine	Zolenzepin
guaiacol	Guajakol
Oxford Unit	Oxfordeinheit|O.E.|OE
OU	Oxfordeinheit|O.E.|OE
life science	Biowissenschaft
threat to public health	Gesundheitsbedrohung|Gefahr für die öffentliche Gesundheit|Bedrohung der öffentlichen Gesundheit
public health threat	Gesundheitsbedrohung|Gefahr für die öffentliche Gesundheit|Bedrohung der öffentlichen Gesundheit
isaxonine	Isaxonin
kept in claustration	in Ställen gehälten
molecular psychiatrist	Molekularpsychater
strain injury	Überlastungsschaden
strain disease	Überlastungsschaden
hospital library	Krankenhausbibliothek
mercurobutol	Mercurobutol
repeated infection	wiederholte Infektion
co-cultivation	Kokultur
endoneurium	Endoneurium
ozolinone	Ozolinon
medical block	medizinisch-technischer Bereich
rolitetracycline	Rolitetracyclin
aggressive treatment	aggressive Behandlung|aggressives Vorgehen|aggressive Therapie
aggressive therapy	aggressive Behandlung|aggressives Vorgehen|aggressive Therapie
familial disease	familiengebundene Erkrankung
toxicologist	Toxikologe|Toxikologe
gyrase	Gyrase
artificial vaginal washing	Spülung der künstlichen Vagina
ventral tegmentum	ventrales Tegmentum
ecipramidil	Ecipramidil
halopemide	Halopemid
vocal-fold nodule	Knötchen an den Stimmfalten
model of neuronal behaviour	Modell für neuronales Verhalten
oxisopred	Oxisopred
specific antigenic receptor	antigenspezifischer Rezeptor
coagulation properties	Gerinnungsfähigkeit
etymemazine	Etymemazin
geroquinol	Gerochinol
mammary	mamillär
inguinal adenopathy	Leistenadenopathie
infectivity factor	Infektiositätsfaktor
guidelines on a medical devices vigilance system	Leitlinien für ein Medizinprodukte-Beobachtungs- und Meldesystem
poisoning	Vergiftung
intoxication	Vergiftung
PACS	Bildarchivierungs-und Kommunikationssystem
picture archiving and communication system	Bildarchivierungs-und Kommunikationssystem
ketoconazole	Nizoral|Ketoconazol
consumption of agricultural products	Verbrauch landwirtschaftlicher Erzeugnisse
buzzing in the ears	Brummen|Ohrensausen
ammoniacal dermatitis	Windeldermatitis|Windelausschlag|Windelekzem|Pseudolüs papulosa|posterosives Pseudosyphilid|Dermatitis glutäalis infantum|Erythema papulosum posterosivum|Dermatitis ammoniacalis
diciferron	Diciferron
specific HTLV-I reagent	spezifisches HTLV-I-Reagens
detection in microbial cultures	Erkennung von Mikrobenkulturen
nonthermal effect	nichtthermischer Effekt
occupational hazard	Berufsrisiko
low-fat	fettarm
Potassium fluoride	Kaliumfluorid
blood donor	Blutspender
ENT examination and treatment unit	HNO-Untersuchungs-und Behandlungseinheit
hearing test	Gehoertest
hair cell	Haarzelle
European BARDA	europäische BARDA|Agentur für fortgeschrittene biomedizinische Forschung und Entwicklung in Europa
European Agency for Biomedical Advanced Research and Development	europäische BARDA|Agentur für fortgeschrittene biomedizinische Forschung und Entwicklung in Europa
European Biomedical Research and Development Agency	europäische BARDA|Agentur für fortgeschrittene biomedizinische Forschung und Entwicklung in Europa
supernumerary organ	Polyplasie
eperezolid	Eperezolid
degenerative osteoarthritis	degenerative Osteoarthritis
glucosulfone	Glucosulfon
metabolic profile of the substance	Stoffwechselprofil des Stoffes
eflornithine	Eflornithin
liroldine	Liroldin
health monitoring system	Gesundheitsberichterstattungssystem
cleidocranial dysostosis,cleidocranial dysplasia	Dysostosis cleidocranialis
specialist in anatomy and cytopathology	Anatom-Zytopathologe
azotemia	Stickstoffgehalt im Blut
denaverine hydrochloride	Denaverinhydrochlorid
heterofermentative	heterofermentativ
anterolateral fontanelle	LAT:Fonticulus sphenoidalis|Keilbeinfontanelle|LAT:Fonticulus anterolateralis
IgA deficiency	IgA-Mangel
hospitals	medizinische Einrichtungen|Versorgung mit Krankenhausbetten|Krankenhäuser und Kliniken|Krankenhäuser
hospital facilities	medizinische Einrichtungen|Versorgung mit Krankenhausbetten|Krankenhäuser und Kliniken|Krankenhäuser
hospital provision	medizinische Einrichtungen|Versorgung mit Krankenhausbetten|Krankenhäuser und Kliniken|Krankenhäuser
sarcomphalocele	Sarcomphalocele
dicentric	dizentrisch
heroin addict	Heroinsüchtiger|Heroinabhängiger
efetozole	Efetozol
fibre	Ballaststoff
F	Ballaststoff
childbirth	Geburt|Entbindung|Partus
delivery	Geburt|Entbindung|Partus
partus	Geburt|Entbindung|Partus
parturition	Geburt|Entbindung|Partus
oxamisole	Oxamisol
pachydermoperiostosis	Touraine-Solente-Golé Syndrom|Pachydermoperiostose
syndrome of Touraine, Solente and Golé	Touraine-Solente-Golé Syndrom|Pachydermoperiostose
retrovirally altered lymphocyte	Genmanipulation von Lymphozyten
tienoxolol	Tienoxolol
clinical chemist	Klinischer Chemiker
pacrinolol	Pacrinolol
clause for reductions and waivers	Klausel für Ermäßigungen und Befreiungen
depression	Depression|Depressio
calving fever	Milchfieber
milk fever	Milchfieber
singlet oxygen	Singulett-Sauerstoff
tazolol	Tazolol
clomacran	Clomacran
antelmycin	Antelmycin
brucella infection	Brucella-Infektion
independent living	eigenständige Lebensführung
medical standard of data exchange	medizinische Norm für den Datenaustausch
drug administration	Arzneimittelverabreichung
convulsive cough	Keuchhusten
long-term memory for sensitization	langfristige Sensibilisierung
spastic ileus of the newborn	spastischer Ileus der Neugeborenen
chlortalidone	Chlortalidon
odorant molecule	Molekül eines Duftstoffs
safe and nutritious food	gesundheitlich unbedenkliche und nährstoffreiche Nahrungsmittel
cinepaxadil	Cinepaxadil
vehicle	Vehiculum|Vehikel
FSCA	sicherheitsrelevante korrektive Maßnahme im Feld|Korrekturmaßnahme|Sicherheitskorrekturmaßnahme im Feld
Field Safety Corrective Action	sicherheitsrelevante korrektive Maßnahme im Feld|Korrekturmaßnahme|Sicherheitskorrekturmaßnahme im Feld
family study	Familienstudie
voluntary treatment as an alternative to penal sanction	Therapie statt Strafe
voluntary treatment as an alternative to (diversion from) penal sanction	Therapie statt Strafe
Convention for limiting the manufacture and regulating the distribution of narcotic drugs	Abkommen zur Beschränkung der Herstellung und zur Regelung der Verteilung der Betäubungsmittel
metesind	Metesind
dioxadrol	Dioxadrol
doconazole	Doconazol
horn blower's disease	Lungenemphysem durch Blasen von Musikinstrumenten
Wegener's disease	Wegener-Syndrom
seriously injured patient	Schwerverletzter
D loop	D-Loop|D-Schleife
induction period	Latenzperiode
safety helmet	Schutzhelm|Arbeitsschutzhelm
helmet	Schutzhelm|Arbeitsschutzhelm
hard hat	Schutzhelm|Arbeitsschutzhelm
sodium iodide (125 I)	Natriumiodid (125 I)
isoxepac	Isoxepac
macrolides	Makrolide
poisonous substance	giftige Substanz
hospital engineer	Krankenhausingenieur
famprofazone	Famprofazon
cardiogram	Kardiogramm
control drug	Kontrollmedikament
meat health marking	Kennzeichnung der Genußtauglichkeit des Fleisches
ADLs	Alltagshandlungen|Verrichtungen des täglichen Lebens
activities of daily living	Alltagshandlungen|Verrichtungen des täglichen Lebens
zinc gluconate	Zinkgluconat
epistatic	epistatisch
duloxetine	Duloxetin
biological maturity	körperliche Reife
multistage model	Mehrstufenmodell|Mehrphasenmodell
IgA	Immunoglobulin A|IgA
immunoglobulin A	Immunoglobulin A|IgA
Gabriel operation	Gabriel-Methode
articaine	Articain
transforming growth factor alpha	Alpha-TGF
TGF alpha	Alpha-TGF
temporary hearing loss	vorübergehender Hörverlust
protein calories	Eiweißkalorien
dental information	Zahnstatus
dental charting	Zahnstatus
antigen bank	Antigenbank
renovascular	renovaskulär
septicaemia of newborn calves	Kälberlähme
forecast supply balance	Bedarfsvorausschätzung
health inspection	Veterinärkontrolle
cellular malfunction	zelluläre Fehlfunktion
labelling yield	Markierungsausbeute
intravenous pyelogram	intravenöse Pyelographie|IVB
IVP	intravenöse Pyelographie|IVB
preparations with gradual release of the active principle	Präparate mit progressiver Freisetzung des wirksamen Bestandteils
breeding of new varieties	Neuzüchtung
calcium sorbate	Calciumsorbat|E 203
E 203	Calciumsorbat|E 203
clobenztropine	Clobenztropin
lores	Zügel
locus coeruleus	Locus coeruleus|blauern Kern
chlorazanil	Chlorazanil
hydrobentizide	Hydrobentizid
bone cancer	Knochenkrebs
primary villi	Primärzotten
CS	Kompartmentsyndrom
compartmental syndrom	Kompartmentsyndrom
compartment syndrome	Kompartmentsyndrom
hexadiline	Hexadilin
food hygiene	Nahrungsmittelhygiene|Lebensmittelhygiene
food sanitation	Nahrungsmittelhygiene|Lebensmittelhygiene
pilot rebahilitation centre	Modellrehabilitationszentrum
Advanced Informatics in Medicine	AIM|Fortgeschrittene Informationsverarbeitung in der Medizin
AIM	AIM|Fortgeschrittene Informationsverarbeitung in der Medizin
metabolic acidosis	metabolische Azidose|nichtrespiratorische Azidose
stomach lining	Magenschleimhaut
apazone	Apazon
extravascular tissue	extravasculares Gewebe
